Group,Gesture,Accuracy,Precision,Recall,F1 score
DM22,hearing,62.482,7.1217,23.4146,10.9215
DM23,hearing,62.5984,6.6116,21.3333,10.0946
DM24,hearing,63.3053,6.3719,19.9187,9.6552
DM25,hearing,62.9288,6.1979,19.2593,9.3778
DM26,hearing,63.3754,7.2952,22.807,11.0544
DM27,hearing,63.7648,7.2961,22.1498,10.9766
DM28,hearing,63.8095,7.5,22.8659,11.2952
DM29,hearing,63.4565,7.2505,22.1264,10.922
DM30,hearing,62.642,6.7769,22.2826,10.3929
DM31,hearing,63.4054,7.49,24.2268,11.4425
DM32,hearing,63.2736,7.7786,25.4902,11.9198
DM33,hearing,63.2717,7.2829,24.2991,11.2069
DM34,hearing,62.8161,7.014,23.4375,10.7969
DM35,hearing,62.2318,7.094,24.307,10.9827
DM36,hearing,62.2449,6.8551,23.3129,10.5948
DM37,hearing,61.9905,6.6628,22.5933,10.2908
Group,Gesture,Accuracy,Precision,Recall,F1 score
DM11,about,65.9794,7.4074,20,10.8108
DM12,about,71.5736,14.7059,37.5,21.1268
DM13,about,67.1902,11.3772,32.2034,16.8142
DM15,about,66.2698,10.5023,28.0488,15.2824
DM16,about,66.599,10.1083,25.9259,14.5455
DM18,about,66.9927,9.6096,23.5294,13.6461
DM19,about,66.436,8.8161,22.1519,12.6126
DM20,about,66.6667,9.7614,25,14.0406
DM21,about,65.7979,9.9083,26.2136,14.3808
DM22,about,65.357,9.5395,25.1082,13.826
DM23,about,64.3045,8.8663,24.4,13.0064
DM24,about,64.986,9.5047,26.2963,13.9626
DM25,about,65.1051,9.2822,26.0417,13.6861
DM26,about,65.1261,9.7674,27.6316,14.433
DM27,about,64.4547,9.2573,26.4615,13.7161
DM28,about,65.4071,9.7107,27.1676,14.3075
DM29,about,65.6095,9.5238,26.2295,13.9738
DM30,about,64.465,10.708,26.477,15.2489
DM31,about,64.0342,10.2671,25.7322,14.6778
DM32,about,63.0346,10.3788,27.3453,15.0467
DM33,about,63.5614,10.1386,25.6458,14.5321
DM34,about,63.7591,10.4969,26.6904,15.0678
DM35,about,63.0697,10.3651,26.9036,14.9647
DM36,about,62.9906,10.0439,26.1011,14.5059
DM37,about,63.0332,10.0667,26.2243,14.5486
